date,time,impact,event_name
"April 3rd, 2025",2:30am,High Impact Expected,CPI m/m
"April 3rd, 2025",3:15am,Low Impact Expected,Spanish Services PMI
"April 3rd, 2025",3:45am,Low Impact Expected,Italian Services PMI
"April 1st, 2025",1:30am,Low Impact Expected,Commodity Prices y/y
"April 3rd, 2025",3:50am,Low Impact Expected,French Final Services PMI
"April 1st, 2025",2:00am,Low Impact Expected,Nationwide HPI m/m
"April 3rd, 2025",3:55am,Low Impact Expected,German Final Services PMI
"April 1st, 2025",2:30am,Low Impact Expected,Retail Sales y/y
"April 2nd, 2025",2:45am,Low Impact Expected,French Gov Budget Balance
"April 3rd, 2025",4:00am,Low Impact Expected,Final Services PMI
"April 1st, 2025",3:15am,Low Impact Expected,Spanish Manufacturing PMI
"April 2nd, 2025",3:00am,Low Impact Expected,Spanish Unemployment Change
"April 3rd, 2025",4:30am,Low Impact Expected,Gov Board Member Tschudin Speaks
"April 1st, 2025",3:30am,Low Impact Expected,Manufacturing PMI
"April 2nd, 2025",,Low Impact Expected,German 10-y Bond Auction
"April 3rd, 2025",,Low Impact Expected,Final Services PMI
"April 1st, 2025",3:45am,Low Impact Expected,Italian Manufacturing PMI
"April 2nd, 2025",8:15am,High Impact Expected,ADP Non-Farm Employment Change
"April 3rd, 2025",5:00am,Low Impact Expected,PPI m/m
"April 1st, 2025",3:50am,Low Impact Expected,French Final Manufacturing PMI
"April 2nd, 2025",10:00am,Low Impact Expected,Factory Orders m/m
"April 3rd, 2025",All Day,Medium Impact Expected,OPEC-JMMC Meetings
"April 1st, 2025",3:55am,Low Impact Expected,German Final Manufacturing PMI
"April 2nd, 2025",10:30am,Low Impact Expected,Crude Oil Inventories
"April 3rd, 2025",,Low Impact Expected,French 10-y Bond Auction
"April 1st, 2025",4:00am,Low Impact Expected,Final Manufacturing PMI
"April 2nd, 2025",4:30pm,Low Impact Expected,FOMC Member Kugler Speaks
"April 3rd, 2025",7:30am,Low Impact Expected,ECB Monetary Policy Meeting Accounts
"April 1st, 2025",7:30am,Low Impact Expected,Italian Monthly Unemployment Rate
"April 2nd, 2025",8:00pm,Low Impact Expected,ANZ Commodity Prices m/m
"April 3rd, 2025",8:00pm,Low Impact Expected,Challenger Job Cuts y/y
"April 1st, 2025",4:15am,Low Impact Expected,MPC Member Greene Speaks
"April 2nd, 2025",8:30pm,Low Impact Expected,Goods Trade Balance
"April 3rd, 2025",8:30am,Low Impact Expected,Trade Balance
"April 1st, 2025",4:30am,Low Impact Expected,Final Manufacturing PMI
"April 2nd, 2025",4:30am,Low Impact Expected,RBA Financial Stability Review
"April 3rd, 2025",4:30am,High Impact Expected,Unemployment Claims
"April 1st, 2025",5:00am,Medium Impact Expected,Core CPI Flash Estimate y/y
"April 2nd, 2025",9:45pm,Low Impact Expected,Caixin Services PMI
"April 3rd, 2025",9:45pm,Low Impact Expected,Trade Balance
"April 1st, 2025",9:45pm,Medium Impact Expected,CPI Flash Estimate y/y
